TABLENAME,DM_USERID,DM_SERVICEID,DM_TRANSACTIONID,DM_SERVERTIMESTAMP,DM_APPTIMESTAMP,DM_ACTIVITYTYPE,DM_CLASSKEY,PREIMAGE,POSTIMAGE
DCP_DPOT_CSH_PYUT,1,30834,192.208.139.9::40452875:16da4efae1e:7540,2019-10-07:08:21:33:000066,2019-10-07:10:17:19:000392,MODIFY         ,:GSGDE:1900824308:BP0031062:1:1:360168,"GSGDE|1900824308|BP0031062|1|1|360168|1|CR|635|PERCPARV|622|||.125||1.25||||||RDTODEC|623|2||||CSH|621|TOBEPAID|636|||STP|23|23|1|INTP|656||662|STADSHYPOTEK AB 0,1250 1026|INTR - SGSS - SE - INCPYMNT|GSSEOC|||11111111111111111111111111111111111111111|0||AUTH|675||INTR|601|||1||ITFCB|3012||3013||100|||3025||||663||664||2206||||671|||||2259||0||||||||ISIN|XS1499574991||516||998|||||||||||||658|||||2231||||||||3081|||||||||||||100||||||||||||||1","GSGDE|1900824308|BP0031062|1|1|360168|1|CR|635|PERCPARV|622|||.125||1.25||||||RDTODEC|623|2||||CSH|621|PPAD|636|||STP|23|23|1|INTP|656||662|STADSHYPOTEK AB 0,1250 1026|INTR - SGSS - SE - INCPYMNT|GSSEOC|||11111111111111111111111111111111111111111|0||AUTH|675||INTR|601|||1||ITFCB|3012||3013||100|||3025||||663||664||2206||||671|||||2259||0||||||||ISIN|XS1499574991||516||998|||||||||||||658|||||2231||||||||3081|||||||||||||100||||||||||||||2"
DCP_DPOT_CSH_PYUT,1,30834,192.208.139.9::40452875:16da4efae1e:64ee,2019-10-07:08:09:05:000194,2019-10-07:10:09:00:000792,MODIFY         ,:GSGDE:1900823683:BP0031062:1:1:671474,"GSGDE|1900823683|BP0031062|1|1|671474|1|CR|635|PERCPARV|622|||.375||375||||||RDTODEC|623|2||||CSH|621|TOBEPAID|636|||STP|23|23|1|INTP|656||662|CA IMMOBILIEN ANLA 0,7500 0425|INTR - SGSS - AT - INCPYMNT|GSSEOC|||11111111111111111111111111111111111111111|0||AUTH|675||INTR|601|||1||INTEREST|3012||3013||100|||3025||||663||664||2206||||671|||||2259||0||||||||ISIN|AT0000A1YDF1||516||998|||||||||||||658|||||2231||||||||3081|||||||||||||100||||||||||||||1","GSGDE|1900823683|BP0031062|1|1|671474|1|CR|635|PERCPARV|622|||.375||375||||||RDTODEC|623|2||||CSH|621|PAID|636|||STP|23|23|1|INTP|656||662|CA IMMOBILIEN ANLA 0,7500 0425|INTR - SGSS - AT - INCPYMNT|GSSEOC|||11111111111111111111111111111111111111111|0||AUTH|675||INTR|601|||1||INTEREST|3012||3013||100|||3025||||663||664||2206||||671|||||2259||0||||||||ISIN|AT0000A1YDF1||516||998|||||||||||||658|||||2231||||||||3081|||||||||||||100||||||||||||||2"
DCP_DPOT_CSH_PYUT,1,30834,192.208.139.9::76897e05:16da5065017:-62c1,2019-10-07:07:29:17:000970,2019-10-07:09:28:11:000118,MODIFY         ,:GSGPM:1900813433:BP0000121:1:1:873605,GSGPM|1900813433|BP0000121|1|1|873605|1|CR|635|PERCPARV|622|||100||1||||||RDTODEC|623|2||||CSH|621|TOBEPAID|636|||STP|21|21|1||656|OFFR|662|MICCIE NCP PRE-CPTE   07102019|REDM - SGSS - FR - INCPYMNT|EUROCLEAR FRANCE|||11111111111111111111111111111111111111111|0||AUTH|675||REDM|601|||1||CANOTAXR|3012||3013||100|||3025|||PRCT|663||664||2206||||671|||||2259||||||||||ISIN|FR0125802266||516||998|||||||||||||658|||||2231||||||||3081|||||||||||||100||||||||||||||5,GSGPM|1900813433|BP0000121|1|1|873605|1|CR|635|PERCPARV|622|||100||1||||||RDTODEC|623|2||||CSH|621|PAID|636|||STP|21|21|1||656|OFFR|662|MICCIE NCP PRE-CPTE   07102019|REDM - SGSS - FR - INCPYMNT|EUROCLEAR FRANCE|||11111111111111111111111111111111111111111|0||AUTH|675||REDM|601|||1||CANOTAXR|3012||3013||100|||3025|||PRCT|663||664||2206||||671|||||2259||||||||||ISIN|FR0125802266||516||998|||||||||||||658|||||2231||||||||3081|||||||||||||100||||||||||||||6
DCP_DPOT_CSH_PYUT,1,30834,192.208.139.9::76897e05:16da56cb862:7d3,2019-10-07:09:00:17:000121,2019-10-07:11:00:05:000649,MODIFY         ,:GSGDE:1900745607:BP0031062:1:1:836320,"GSGDE|1900745607|BP0031062|1|1|836320|1|CR|635|PERCPARV|622|||2.45||24.5||||||RDTODEC|623|2||||CSH|621|PAID|636|||STP|23|23|1|INTP|656||662|ANHEUSER-BUSCH COS 4,9000 0246|INTR - SGSS - US - INCPYMNT|GSSEOC|||11111111111111111111111111111111111111|0||AUTH|675||INTR|601|||1||INTEREST|3012||3013||100|||3025||||663||664||2206||||671|||||2259||0||||||||ISIN|US03522AAJ97||516||998|||||||||||||658|||||2231||||||||3081|||||||||||||100||||||||||||||5","GSGDE|1900745607|BP0031062|1|1|836320|1|CR|635|PERCPARV|622|||2.45||24.5||||||RDTODEC|623|2||||CSH|621|PAID|636|||STP|23|23|1|INTP|656||662|ANHEUSER-BUSCH COS 4,9000 0246|INTR - SGSS - US - INCPYMNT|GSSEOC|||11111111111111111111111111111111111111|0||AUTH|675||INTR|601|||1||INTEREST|3012||3013||100|||3025||||663||664||2206||||671|||||2259||0||||||||ISIN|US03522AAJ97||516||998|||||||||||||658|||||2231||||||||3081|||||||||||||100||||||||||||||6"
DCP_DPOT_CSH_PYUT,1,30834,192.208.139.9::76897e05:16da5065017:2dd0,2019-10-07:08:21:32:000005,2019-10-07:10:10:03:000194,MODIFY         ,:GSGDE:1900824289:BP0031062:1:1:360391,"GSGDE|1900824289|BP0031062|1|1|360391|1000|CR|635|AMNTSHAR|622|10|EUR|||||||||RDTODEC|623|2||||CSH|621|TOBEPAID|636|||STP|23|23|1|INTP|656||662|BLACKSTONE HOLDING 1,0000 1026|INTR - SGSS - US - INCPYMNT|GSSEOC|||11111111111111111111111111111111111111111|0||AUTH|675||INTR|601|||1||ITFCB|3012||3013||100|||3025||||663||664||2206||||671|||||2259||0||||||||ISIN|XS1499602289||516||998|||||||||||||658|||||2231||||||||3081|||||||||||||100||||||||||||||1","GSGDE|1900824289|BP0031062|1|1|360391|1000|CR|635|AMNTSHAR|622|10|EUR|||||||||RDTODEC|623|2||||CSH|621|PAID|636|||STP|23|23|1|INTP|656||662|BLACKSTONE HOLDING 1,0000 1026|INTR - SGSS - US - INCPYMNT|GSSEOC|||11111111111111111111111111111111111111111|0||AUTH|675||INTR|601|||1||ITFCB|3012||3013||100|||3025||||663||664||2206||||671|||||2259||0||||||||ISIN|XS1499602289||516||998|||||||||||||658|||||2231||||||||3081|||||||||||||100||||||||||||||2"
DCP_DPOT_CSH_PYUT,1,30834,192.208.139.10::-6636f36e:1692e52c52a:-591a,2019-02-27:10:07:48:000010,2019-02-27:11:07:46:000804,MODIFY         ,:G:1900686989:BP0000222:1:1:747132,G|1900686989|BP0000222|1|1|747132||CR|101|AMNTSHAR|622||||||||||||623|||||CSH|621|TOBEPAID|636|||STP|1|1||ALLVAL|656||662|BRSF F INSTR I5D D.|DVOP - SGSS - LU - MAND|SUPER BP|||1111111111111111111111111111111111111|0|||675||DVOP|601|||1||DIVIDEND|3012||3013||100|||3025||||663||664||2206||||671|||||2259|||||||||||||516||998|||||||||||||658||||DP|2231||||||||3081|||||||||||||100||||||||1,G|1900686989|BP0000222|1|1|747132||CR|101|AMNTSHAR|622||||||||||||623|||||CSH|621|CANC|636|||STP|1|1||ALLVAL|656||662|BRSF F INSTR I5D D.|DVOP - SGSS - LU - MAND|SUPER BP|||1111111111111111111111111111111111111|0|||675||DVOP|601|||1||DIVIDEND|3012||3013||100|||3025||||663||664||2206||||671|||||2259|||||||||||||516||998|||||||||||||658||||DP|2231||||||||3081|||||||||||||100||||||||2
DCP_DPOT_CSH_PYUT,1,30834,192.208.139.10::-6636f36e:1692e52c52a:-591a,2019-02-27:10:07:48:000997,2019-02-27:11:07:46:000804,MODIFY         ,:GSGPM:1900686989:BP0000122:1:1:747132,GSGPM|1900686989|BP0000122|1|1|747132||CR|101|AMNTSHAR|622|||||||||||RDTODEC|623|2||||CSH|621|TOBEPAID|636|||STP|21|21||ALLVAL|656||662|BRSF F INSTR I5D D.|DVOP - SGSS - LU - MAND|EUROCLEAR BANK S A / N V FUNDS|||1111111111111111111111111111111111111|0|||675||DVOP|601|||1||DIVIDEND|3012||3013||100|||3025||||663||664||2206||||671|||||2259|||||||||||||516||998|||||||||||||658||||DP|2231||||||||3081|||||||||||||100||||||||1,GSGPM|1900686989|BP0000122|1|1|747132||CR|101|AMNTSHAR|622|||||||||||RDTODEC|623|2||||CSH|621|CANC|636|||STP|21|21||ALLVAL|656||662|BRSF F INSTR I5D D.|DVOP - SGSS - LU - MAND|EUROCLEAR BANK S A / N V FUNDS|||1111111111111111111111111111111111111|0|||675||DVOP|601|||1||DIVIDEND|3012||3013||100|||3025||||663||664||2206||||671|||||2259|||||||||||||516||998|||||||||||||658||||DP|2231||||||||3081|||||||||||||100||||||||2
DCP_DPOT_CSH_PYUT,1,30834,192.208.139.10::-1098168a:168e03fc56f:6ff2,2019-02-12:09:20:28:000007,2019-02-12:10:20:25:000653,MODIFY         ,:G:1900670028:BP0000222:1:1:701697,"G|1900670028|BP0000222|1|1|701697|1|CR|635|AMNTSHAR|622|100.5582|USD||||||||||623|||||CSH|621|TOBEPAID|636|||STP|1|1|1||656|OFFR|662|EXANE FINANCE 9,2500 0219|REDM - SGSS - FR - INCPYMNT|SUPER BP|||1111111111111111111111111111111111111|0|||675||REDM|601|||1||CANOTAX|3012||3013||100|||3025||||663|ACTU|664||2206||||671|||||2259|||||||||||||516||998|||||||||||||658|||||2231||||||||3081|||||||||||||100||||||||1","G|1900670028|BP0000222|1|1|701697|1|CR|635|AMNTSHAR|622|100.5582|USD||||||||||623|||||CSH|621|CANC|636|||STP|1|1|1||656|OFFR|662|EXANE FINANCE 9,2500 0219|REDM - SGSS - FR - INCPYMNT|SUPER BP|||1111111111111111111111111111111111111|0|||675||REDM|601|||1||CANOTAX|3012||3013||100|||3025||||663|ACTU|664||2206||||671|||||2259|||||||||||||516||998|||||||||||||658|||||2231||||||||3081|||||||||||||100||||||||2"
DCP_DPOT_CSH_PYUT,1,30834,192.208.139.10::-1098168a:168e03fc56f:6ff2,2019-02-12:09:20:29:000047,2019-02-12:10:20:25:000653,MODIFY         ,:GSGPM:1900670028:BP0000121:1:1:701697,"GSGPM|1900670028|BP0000121|1|1|701697|1|CR|635|AMNTSHAR|622|100.5582|USD|||||||||RDTODEC|623|2||||CSH|621|TOBEPAID|636|||105|21|21|1||656|OFFR|662|EXANE FINANCE 9,2500 0219|REDM - SGSS - FR - INCPYMNT|EUROCLEAR FRANCE|||1111111111111111111111011111111111111|0|||675||REDM|601|||1||SUPDIVD|3012||3013||100|||3025||||663|ACTU|664||2206||||671|||||2259|||||||||||||516||998|||||||||||||658|||||2231||||||||3081|||||||||||||100||||||||9","GSGPM|1900670028|BP0000121|1|1|701697|1|CR|635|AMNTSHAR|622|100.5582|USD|||||||||RDTODEC|623|2||||CSH|621|CANC|636|||105|21|21|1||656|OFFR|662|EXANE FINANCE 9,2500 0219|REDM - SGSS - FR - INCPYMNT|EUROCLEAR FRANCE|||1111111111111111111111011111111111111|0|||675||REDM|601|||1||SUPDIVD|3012||3013||100|||3025||||663|ACTU|664||2206||||671|||||2259|||||||||||||516||998|||||||||||||658|||||2231||||||||3081|||||||||||||100||||||||10"
DCP_DPOT_CSH_PYUT,1,30834,192.208.193.5::-43ff50bb:1756abb22eb:-12da,2020-10-27:16:09:21:000750,2020-10-27:05:09:10:000759,MODIFY         ,:G:2001096358:BP0000222:1:1:6787,G|2001096358|BP0000222|1|1|6787|1|CR|635|AMNTSHAR|622|2.38|EUR||||||||||623|||||CSH|621|TOBEPAID|636|||STP|1|1|1|GRSS|656||662|AGEAS N.V.|DVCA - SGSS - BE - INCPYMNT|SUPER BP|||111111111111111111111111111111111111111111111111111111|0||AUTH|675||DVCA|601||2.38|1||DIVIDEND|3012||3013||100|||3025||||663||664||2206||||671|||||2259||||||||||ISIN|BE0974264930||516||998|||||||||||||658|||||2231|||||||04|3081|||||||||||||100||||||||||||||||||||||||||||||3,G|2001096358|BP0000222|1|1|6787|1|CR|635|AMNTSHAR|622|2.38|EUR||||||||||623|||||CSH|621|CANC|636|||STP|1|1|1|GRSS|656||662|AGEAS N.V.|DVCA - SGSS - BE - INCPYMNT|SUPER BP|||111111111111111111111111111111111111111111111111111111|0||AUTH|675||DVCA|601||2.38|1||DIVIDEND|3012||3013||100|||3025||||663||664||2206||||671|||||2259||||||||||ISIN|BE0974264930||516||998|||||||||||||658|||||2231|||||||04|3081|||||||||||||100||||||||||||||||||||||||||||||4
DCP_DPOT_CSH_PYUT,1,30834,192.208.193.5::-43ff50bb:1756abb22eb:-12da,2020-10-27:16:09:22:000076,2020-10-27:05:09:10:000759,MODIFY         ,:GSGPM:2001096358:BP0000137:1:1:6787,GSGPM|2001096358|BP0000137|1|1|6787|1|CR|635|AMNTSHAR|622|2.38|EUR|||||||||RDTODEC|623|2||||CSH|621|TOBEPAID|636|||STP|21|21|1|GRSS|656||662|AGEAS N.V.|DVCA - SGSS - BE - INCPYMNT|CAISSE INTER DEP VIR BELGIQUE|||111111111111111111111111111111111111111111111111111111|0||AUTH|675||DVCA|601||2.38|1||DIVIDEND|3012||3013||100|||3025||||663||664||2206||||671|||||2259||||||||||ISIN|BE0974264930||516||998|||||||||||||658|||||2231|||||||04|3081|||||||||||||100||||||||||||||||||||||||||||||3,GSGPM|2001096358|BP0000137|1|1|6787|1|CR|635|AMNTSHAR|622|2.38|EUR|||||||||RDTODEC|623|2||||CSH|621|CANC|636|||STP|21|21|1|GRSS|656||662|AGEAS N.V.|DVCA - SGSS - BE - INCPYMNT|CAISSE INTER DEP VIR BELGIQUE|||111111111111111111111111111111111111111111111111111111|0||AUTH|675||DVCA|601||2.38|1||DIVIDEND|3012||3013||100|||3025||||663||664||2206||||671|||||2259||||||||||ISIN|BE0974264930||516||998|||||||||||||658|||||2231|||||||04|3081|||||||||||||100||||||||||||||||||||||||||||||4
